DATE;METAR;STATUS;D;F;FG;WIND_DIR_FROM;WIND_DIR_TO;VRB;V1;VD;MAX_VIS;MAX_VIS_DIR;RUNWAY;RUNWAY_HIGH;RUNWAY_LOW;WEATHER;FEW;SCT;BKN;BKN_2;OVC;VV;Q;RECENT;TCU;CB
2016-11-22 20:00:00.0;METAR BIKF 222000Z 15010KT 9999 FEW018 BKN075 01/M01 Q1009;OK;150;10;;;;;10000;;;;;;;;1800;;7500;;;;1009;;;
2016-11-22 20:30:00.0;METAR BIKF 222030Z 15009KT 9999 FEW018 BKN075 00/M01 Q1009;OK;150;9;;;;;10000;;;;;;;;1800;;7500;;;;1009;;;
2016-11-22 21:00:00.0;METAR BIKF 222100Z 16008KT 9999 FEW020 BKN075 01/M01 Q1010;OK;160;8;;;;;10000;;;;;;;;2000;;7500;;;;1010;;;
2016-11-22 21:30:00.0;METAR BIKF 222130Z 16007KT 9999 FEW020 BKN075 01/M01 Q1010;OK;160;7;;;;;10000;;;;;;;;2000;;7500;;;;1010;;;
2016-11-22 22:00:00.0;METAR BIKF 222200Z 16009KT 9999 FEW045 BKN075 01/M01 Q1010;OK;160;9;;;;;10000;;;;;;;;4500;;7500;;;;1010;;;
2016-11-22 22:30:00.0;METAR BIKF 222230Z 17010KT 9999 FEW045 BKN070 01/M00 Q1010;OK;170;10;;;;;10000;;;;;;;;4500;;7000;;;;1010;;;
2016-11-22 23:00:00.0;METAR BIKF 222300Z 17009KT 9999 FEW030 BKN070 01/M00 Q1011;OK;170;9;;;;;10000;;;;;;;;3000;;7000;;;;1011;;;
2016-11-22 23:30:00.0;METAR BIKF 222330Z 17009KT 9999 VCSH FEW016 BKN070 01/00 Q1011;OK;170;9;;;;;10000;;;;;;;VCSH;1600;;7000;;;;1011;;;
2016-11-23 00:00:00.0;METAR BIKF 230000Z 17010KT 9999 -DZRA SCT024 OVC065 01/00 Q1011;OK;170;10;;;;;10000;;;;;;;-DZRA;;2400;;;6500;;1011;;;
2016-11-23 00:30:00.0;METAR BIKF 230030Z 16008KT 9999 VCSH FEW015 SCT025 BKN065 01/00 Q1011;OK;160;8;;;;;10000;;;;;;;VCSH;1500;2500;6500;;;;1011;;;
2016-11-23 01:00:00.0;METAR BIKF 230100Z 16009KT 9999 VCSH FEW014 SCT023 BKN037 01/00 Q1011;OK;160;9;;;;;10000;;;;;;;VCSH;1400;2300;3700;;;;1011;;;
2016-11-23 01:30:00.0;METAR BIKF 230130Z 15008KT 9999 VCSH SCT015 BKN028 01/00 Q1011;OK;150;8;;;;;10000;;;;;;;VCSH;;1500;2800;;;;1011;;;
2016-11-23 02:00:00.0;METAR BIKF 230200Z 16007KT 9999 VCSH FEW029 SCT034 00/00 Q1011;OK;160;7;;;;;10000;;;;;;;VCSH;2900;3400;;;;;1011;;;
2016-11-23 02:30:00.0;METAR BIKF 230230Z 16006KT 9999 -RA FEW014 SCT020 BKN043 01/00 Q1011;OK;160;6;;;;;10000;;;;;;;-RA;1400;2000;4300;;;;1011;;;
2016-11-23 03:00:00.0;METAR BIKF 230300Z 16006KT 9999 VCSH FEW015 SCT025 BKN030 01/01 Q1011;OK;160;6;;;;;10000;;;;;;;VCSH;1500;2500;3000;;;;1011;;;
2016-11-23 03:30:00.0;METAR BIKF 230330Z 16007KT 9999 VCSH FEW025TCU BKN030 01/00 Q1012;OK;160;7;;;;;10000;;;;;;;VCSH;2500;;3000;;;;1012;;1;
2016-11-23 04:00:00.0;METAR BIKF 230400Z 17006KT 9999 FEW016TCU BKN029 01/01 Q1012;OK;170;6;;;;;10000;;;;;;;;1600;;2900;;;;1012;;1;
2016-11-23 04:30:00.0;METAR BIKF 230430Z 17004KT 110V190 9000 -RA FEW009 SCT021TCU BKN043 01/01 Q1012;OK;170;4;;110;190;;9000;;;;;;;-RA;900;2100;4300;;;;1012;;1;
2016-11-23 05:00:00.0;METAR BIKF 230500Z 16006KT 9999 VCSH SCT014 BKN045 01/01 Q1012;OK;160;6;;;;;10000;;;;;;;VCSH;;1400;4500;;;;1012;;;
2016-11-23 05:30:00.0;METAR BIKF 230530Z 16006KT 9999 BKN024 01/01 Q1012;OK;160;6;;;;;10000;;;;;;;;;;2400;;;;1012;;;
